,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request timestamp1,Request Hour,Request time slots,Supply Demand Status
0,619,Airport,1.0,Trip Completed,11/7/2016 11:51,11/7/2016 13:00,2016-07-11 11:51:00,11,Morning,Supply
1,867,Airport,1.0,Trip Completed,11/7/2016 17:57,11/7/2016 18:47,2016-07-11 17:57:00,17,Noon,Supply
2,1807,City,1.0,Trip Completed,12/7/2016 9:17,12/7/2016 9:58,2016-07-12 09:17:00,9,Morning,Supply
3,2532,Airport,1.0,Trip Completed,12/7/2016 21:08,12/7/2016 22:03,2016-07-12 21:08:00,21,Late Evening,Supply
4,3112,City,1.0,Trip Completed,13-07-2016 08:33:16,13-07-2016 09:25:47,2016-07-13 08:33:16,8,Morning,Supply
5,3879,Airport,1.0,Trip Completed,13-07-2016 21:57:28,13-07-2016 22:28:59,2016-07-13 21:57:28,21,Late Evening,Supply
6,4270,Airport,1.0,Trip Completed,14-07-2016 06:15:32,14-07-2016 07:13:15,2016-07-14 06:15:32,6,Morning,Supply
7,5510,Airport,1.0,Trip Completed,15-07-2016 05:11:52,15-07-2016 06:07:52,2016-07-15 05:11:52,5,Late Night,Supply
8,6248,City,1.0,Trip Completed,15-07-2016 17:57:27,15-07-2016 18:50:51,2016-07-15 17:57:27,17,Noon,Supply
9,267,City,2.0,Trip Completed,11/7/2016 6:46,11/7/2016 7:25,2016-07-11 06:46:00,6,Morning,Supply
10,1467,Airport,2.0,Trip Completed,12/7/2016 5:08,12/7/2016 6:02,2016-07-12 05:08:00,5,Late Night,Supply
11,1983,City,2.0,Trip Completed,12/7/2016 12:30,12/7/2016 12:57,2016-07-12 12:30:00,12,Noon,Supply
12,2784,Airport,2.0,Trip Completed,13-07-2016 04:49:20,13-07-2016 05:23:03,2016-07-13 04:49:20,4,Late Night,Supply
13,3075,City,2.0,Trip Completed,13-07-2016 08:02:53,13-07-2016 09:16:19,2016-07-13 08:02:53,8,Morning,Supply
14,3379,City,2.0,Trip Completed,13-07-2016 14:23:02,13-07-2016 15:35:18,2016-07-13 14:23:02,14,Noon,Supply
15,3482,Airport,2.0,Trip Completed,13-07-2016 17:23:18,13-07-2016 18:20:51,2016-07-13 17:23:18,17,Noon,Supply
16,4652,City,2.0,Trip Completed,14-07-2016 12:01:02,14-07-2016 12:36:46,2016-07-14 12:01:02,12,Noon,Supply
17,5335,Airport,2.0,Trip Completed,14-07-2016 22:24:13,14-07-2016 23:18:52,2016-07-14 22:24:13,22,Late Evening,Supply
18,535,Airport,3.0,Trip Completed,11/7/2016 10:00,11/7/2016 10:31,2016-07-11 10:00:00,10,Morning,Supply
19,960,Airport,3.0,Trip Completed,11/7/2016 18:45,11/7/2016 19:23,2016-07-11 18:45:00,18,Late Evening,Supply
20,1934,Airport,3.0,Trip Completed,12/7/2016 11:17,12/7/2016 12:23,2016-07-12 11:17:00,11,Morning,Supply
21,2083,Airport,3.0,Trip Completed,12/7/2016 15:46,12/7/2016 16:40,2016-07-12 15:46:00,15,Noon,Supply
22,2211,Airport,3.0,Trip Completed,12/7/2016 18:00,12/7/2016 18:28,2016-07-12 18:00:00,18,Late Evening,Supply
23,3096,Airport,3.0,Trip Completed,13-07-2016 08:17:29,13-07-2016 09:22:37,2016-07-13 08:17:29,8,Morning,Supply
24,3881,Airport,3.0,Trip Completed,13-07-2016 21:54:18,13-07-2016 22:51:23,2016-07-13 21:54:18,21,Late Evening,Supply
25,5254,City,3.0,Trip Completed,14-07-2016 21:23:03,14-07-2016 22:25:19,2016-07-14 21:23:03,21,Late Evening,Supply
26,5434,City,3.0,Trip Completed,15-07-2016 02:41:38,15-07-2016 03:24:43,2016-07-15 02:41:38,2,Late Night,Supply
27,5916,City,3.0,Trip Completed,15-07-2016 10:00:43,15-07-2016 10:53:06,2016-07-15 10:00:43,10,Morning,Supply
28,669,City,4.0,Trip Completed,11/7/2016 13:08,11/7/2016 13:49,2016-07-11 13:08:00,13,Noon,Supply
29,1567,Airport,4.0,Trip Completed,12/7/2016 6:21,12/7/2016 7:10,2016-07-12 06:21:00,6,Morning,Supply
30,1826,City,4.0,Trip Completed,12/7/2016 9:27,12/7/2016 10:27,2016-07-12 09:27:00,9,Morning,Supply
31,2102,City,4.0,Trip Completed,12/7/2016 16:09,12/7/2016 17:01,2016-07-12 16:09:00,16,Noon,Supply
32,2847,Airport,4.0,Trip Completed,13-07-2016 05:34:20,13-07-2016 06:09:59,2016-07-13 05:34:20,5,Late Night,Supply
33,3722,Airport,4.0,Trip Completed,13-07-2016 19:57:59,13-07-2016 20:32:04,2016-07-13 19:57:59,19,Late Evening,Supply
34,4075,City,4.0,Trip Completed,14-07-2016 02:17:35,14-07-2016 03:21:38,2016-07-14 02:17:35,2,Late Night,Supply
35,4686,City,4.0,Trip Completed,14-07-2016 13:01:10,14-07-2016 13:45:28,2016-07-14 13:01:10,13,Noon,Supply
36,5771,Airport,4.0,Trip Completed,15-07-2016 08:30:06,15-07-2016 09:37:20,2016-07-15 08:30:06,8,Morning,Supply
37,6106,Airport,4.0,Trip Completed,15-07-2016 15:01:20,15-07-2016 15:47:31,2016-07-15 15:01:20,15,Noon,Supply
38,312,City,5.0,Trip Completed,11/7/2016 7:27,11/7/2016 8:31,2016-07-11 07:27:00,7,Morning,Supply
39,577,Airport,5.0,Trip Completed,11/7/2016 11:03,11/7/2016 12:01,2016-07-11 11:03:00,11,Morning,Supply
40,1179,City,5.0,Trip Completed,11/7/2016 20:58,11/7/2016 21:45,2016-07-11 20:58:00,20,Late Evening,Supply
41,1756,Airport,5.0,Trip Completed,12/7/2016 8:40,12/7/2016 9:23,2016-07-12 08:40:00,8,Morning,Supply
42,2052,City,5.0,Trip Completed,12/7/2016 14:48,12/7/2016 15:50,2016-07-12 14:48:00,14,Noon,Supply
43,2559,City,5.0,Trip Completed,12/7/2016 21:32,12/7/2016 22:29,2016-07-12 21:32:00,21,Late Evening,Supply
44,3014,City,5.0,Trip Completed,13-07-2016 07:28:14,13-07-2016 08:29:47,2016-07-13 07:28:14,7,Morning,Supply
45,3317,City,5.0,Trip Completed,13-07-2016 12:14:27,13-07-2016 12:46:38,2016-07-13 12:14:27,12,Noon,Supply
46,4297,City,5.0,Trip Completed,14-07-2016 06:43:01,14-07-2016 07:49:38,2016-07-14 06:43:01,6,Morning,Supply
47,5857,Airport,5.0,Trip Completed,15-07-2016 09:08:50,15-07-2016 10:07:07,2016-07-15 09:08:50,9,Morning,Supply
48,6690,Airport,5.0,Trip Completed,15-07-2016 22:41:41,15-07-2016 23:51:00,2016-07-15 22:41:41,22,Late Evening,Supply
49,1517,Airport,6.0,Trip Completed,12/7/2016 5:45,12/7/2016 6:28,2016-07-12 05:45:00,5,Late Night,Supply
50,1999,Airport,6.0,Trip Completed,12/7/2016 13:02,12/7/2016 13:51,2016-07-12 13:02:00,13,Noon,Supply
51,2960,Airport,6.0,Trip Completed,13-07-2016 06:50:33,13-07-2016 07:40:35,2016-07-13 06:50:33,6,Morning,Supply
52,3882,City,6.0,Trip Completed,13-07-2016 21:53:03,13-07-2016 22:45:24,2016-07-13 21:53:03,21,Late Evening,Supply
53,4081,Airport,6.0,Trip Completed,14-07-2016 02:37:14,14-07-2016 03:30:27,2016-07-14 02:37:14,2,Late Night,Supply
54,4740,City,6.0,Trip Completed,14-07-2016 14:50:07,14-07-2016 15:38:14,2016-07-14 14:50:07,14,Noon,Supply
55,5270,City,6.0,Trip Completed,14-07-2016 21:33:55,14-07-2016 22:25:43,2016-07-14 21:33:55,21,Late Evening,Supply
56,6758,Airport,6.0,Trip Completed,15-07-2016 00:03:39,15-07-2016 01:07:39,2016-07-15 00:03:39,0,Late Night,Supply
57,5741,City,6.0,Trip Completed,15-07-2016 07:52:51,15-07-2016 08:38:55,2016-07-15 07:52:51,7,Morning,Supply
58,6087,Airport,6.0,Trip Completed,15-07-2016 14:28:50,15-07-2016 15:33:53,2016-07-15 14:28:50,14,Noon,Supply
59,1039,City,7.0,Trip Completed,11/7/2016 19:31,11/7/2016 20:41,2016-07-11 19:31:00,19,Late Evening,Supply
60,1273,Airport,7.0,Trip Completed,11/7/2016 22:07,11/7/2016 23:12,2016-07-11 22:07:00,22,Late Evening,Supply
61,2480,City,7.0,Trip Completed,12/7/2016 20:39,12/7/2016 21:28,2016-07-12 20:39:00,20,Late Evening,Supply
62,4105,City,7.0,Trip Completed,14-07-2016 03:39:38,14-07-2016 04:39:04,2016-07-14 03:39:38,3,Late Night,Supply
63,4509,City,7.0,Trip Completed,14-07-2016 09:11:13,14-07-2016 10:17:01,2016-07-14 09:11:13,9,Morning,Supply
64,4986,Airport,7.0,Trip Completed,14-07-2016 18:52:32,14-07-2016 19:50:57,2016-07-14 18:52:32,18,Late Evening,Supply
65,5898,City,7.0,Trip Completed,15-07-2016 09:50:28,15-07-2016 10:40:39,2016-07-15 09:50:28,9,Morning,Supply
66,6142,Airport,7.0,Trip Completed,15-07-2016 15:50:15,15-07-2016 16:36:56,2016-07-15 15:50:15,15,Noon,Supply
67,380,Airport,8.0,Trip Completed,11/7/2016 8:18,11/7/2016 9:18,2016-07-11 08:18:00,8,Morning,Supply
68,1050,Airport,8.0,Trip Completed,11/7/2016 19:39,11/7/2016 20:30,2016-07-11 19:39:00,19,Late Evening,Supply
69,1769,City,8.0,Trip Completed,12/7/2016 8:57,12/7/2016 9:24,2016-07-12 08:57:00,8,Morning,Supply
70,2520,City,8.0,Trip Completed,12/7/2016 21:05,12/7/2016 22:20,2016-07-12 21:05:00,21,Late Evening,Supply
71,3265,Airport,8.0,Trip Completed,13-07-2016 10:22:07,13-07-2016 11:07:02,2016-07-13 10:22:07,10,Morning,Supply
72,4648,City,8.0,Trip Completed,14-07-2016 11:55:10,14-07-2016 12:59:34,2016-07-14 11:55:10,11,Morning,Supply
73,449,Airport,9.0,Trip Completed,11/7/2016 9:08,11/7/2016 9:52,2016-07-11 09:08:00,9,Morning,Supply
74,846,Airport,9.0,Trip Completed,11/7/2016 17:46,11/7/2016 18:52,2016-07-11 17:46:00,17,Noon,Supply
75,1346,Airport,9.0,Trip Completed,11/7/2016 23:39,12/7/2016 0:23,2016-07-11 23:39:00,23,Late Evening,Supply
76,1474,Airport,9.0,Trip Completed,12/7/2016 5:13,12/7/2016 5:56,2016-07-12 05:13:00,5,Late Night,Supply
77,2240,City,9.0,Trip Completed,12/7/2016 18:20,12/7/2016 18:54,2016-07-12 18:20:00,18,Late Evening,Supply
78,3072,Airport,9.0,Trip Completed,13-07-2016 08:04:57,13-07-2016 08:36:37,2016-07-13 08:04:57,8,Morning,Supply
79,3459,Airport,9.0,Trip Completed,13-07-2016 17:03:30,13-07-2016 17:31:49,2016-07-13 17:03:30,17,Noon,Supply
80,3774,Airport,9.0,Trip Completed,13-07-2016 20:41:24,13-07-2016 21:27:29,2016-07-13 20:41:24,20,Late Evening,Supply
81,4023,City,9.0,Trip Completed,13-07-2016 23:58:41,14-07-2016 00:58:39,2016-07-13 23:58:41,23,Late Evening,Supply
82,4117,City,9.0,Trip Completed,14-07-2016 04:21:42,14-07-2016 05:07:07,2016-07-14 04:21:42,4,Late Night,Supply
83,4880,Airport,9.0,Trip Completed,14-07-2016 17:58:46,14-07-2016 19:02:42,2016-07-14 17:58:46,17,Noon,Supply
84,5568,Airport,9.0,Trip Completed,15-07-2016 05:47:49,15-07-2016 06:25:49,2016-07-15 05:47:49,5,Late Night,Supply
85,5994,Airport,9.0,Trip Completed,15-07-2016 11:51:16,15-07-2016 12:32:12,2016-07-15 11:51:16,11,Morning,Supply
86,1809,Airport,10.0,Trip Completed,12/7/2016 9:13,12/7/2016 10:01,2016-07-12 09:13:00,9,Morning,Supply
87,2064,Airport,10.0,Trip Completed,12/7/2016 15:08,12/7/2016 16:14,2016-07-12 15:08:00,15,Noon,Supply
88,3210,City,10.0,Trip Completed,13-07-2016 09:47:06,13-07-2016 10:52:37,2016-07-13 09:47:06,9,Morning,Supply
89,4350,City,10.0,Trip Completed,14-07-2016 07:24:43,14-07-2016 08:22:09,2016-07-14 07:24:43,7,Morning,Supply
90,4713,City,10.0,Trip Completed,14-07-2016 13:31:24,14-07-2016 14:10:56,2016-07-14 13:31:24,13,Noon,Supply
91,5629,Airport,10.0,Trip Completed,15-07-2016 06:33:00,15-07-2016 07:19:53,2016-07-15 06:33:00,6,Morning,Supply
92,6157,Airport,10.0,Trip Completed,15-07-2016 16:32:51,15-07-2016 17:44:44,2016-07-15 16:32:51,16,Noon,Supply
93,2030,City,11.0,Trip Completed,12/7/2016 14:11,12/7/2016 15:02,2016-07-12 14:11:00,14,Noon,Supply
94,3226,City,11.0,Trip Completed,13-07-2016 10:00:17,13-07-2016 11:02:52,2016-07-13 10:00:17,10,Morning,Supply
95,3353,City,11.0,Trip Completed,13-07-2016 13:29:44,13-07-2016 14:09:00,2016-07-13 13:29:44,13,Noon,Supply
96,4293,City,11.0,Trip Completed,14-07-2016 06:42:36,14-07-2016 07:12:41,2016-07-14 06:42:36,6,Morning,Supply
97,4936,City,11.0,Trip Completed,14-07-2016 18:22:17,14-07-2016 19:14:36,2016-07-14 18:22:17,18,Late Evening,Supply
98,5661,Airport,11.0,Trip Completed,15-07-2016 07:08:50,15-07-2016 07:59:00,2016-07-15 07:08:50,7,Morning,Supply
99,5778,City,11.0,Trip Completed,15-07-2016 08:22:03,15-07-2016 09:13:04,2016-07-15 08:22:03,8,Morning,Supply
100,6425,Airport,11.0,Trip Completed,15-07-2016 19:46:40,15-07-2016 20:26:51,2016-07-15 19:46:40,19,Late Evening,Supply
101,45,Airport,12.0,Trip Completed,11/7/2016 3:17,11/7/2016 4:09,2016-07-11 03:17:00,3,Late Night,Supply
102,264,City,12.0,Trip Completed,11/7/2016 6:51,11/7/2016 7:40,2016-07-11 06:51:00,6,Morning,Supply
103,1183,City,12.0,Trip Completed,11/7/2016 21:05,11/7/2016 21:38,2016-07-11 21:05:00,21,Late Evening,Supply
104,1536,Airport,12.0,Trip Completed,12/7/2016 5:59,12/7/2016 6:59,2016-07-12 05:59:00,5,Late Night,Supply
105,2437,City,12.0,Trip Completed,12/7/2016 20:18,12/7/2016 21:26,2016-07-12 20:18:00,20,Late Evening,Supply
106,2641,Airport,12.0,Trip Completed,12/7/2016 22:28,12/7/2016 23:05,2016-07-12 22:28:00,22,Late Evening,Supply
107,4077,Airport,12.0,Trip Completed,14-07-2016 02:14:15,14-07-2016 03:13:09,2016-07-14 02:14:15,2,Late Night,Supply
108,4610,City,12.0,Trip Completed,14-07-2016 10:35:14,14-07-2016 11:39:01,2016-07-14 10:35:14,10,Morning,Supply
109,5066,Airport,12.0,Trip Completed,14-07-2016 19:31:20,14-07-2016 20:14:03,2016-07-14 19:31:20,19,Late Evening,Supply
110,5666,Airport,12.0,Trip Completed,15-07-2016 07:04:55,15-07-2016 08:12:37,2016-07-15 07:04:55,7,Morning,Supply
111,5923,City,12.0,Trip Completed,15-07-2016 10:07:49,15-07-2016 10:50:50,2016-07-15 10:07:49,10,Morning,Supply
112,6367,City,12.0,Trip Completed,15-07-2016 19:04:46,15-07-2016 19:46:04,2016-07-15 19:04:46,19,Late Evening,Supply
113,155,City,13.0,Trip Completed,11/7/2016 5:32,11/7/2016 6:28,2016-07-11 05:32:00,5,Late Night,Supply
114,310,Airport,13.0,Trip Completed,11/7/2016 7:24,11/7/2016 8:28,2016-07-11 07:24:00,7,Morning,Supply
115,607,City,13.0,Trip Completed,11/7/2016 11:51,11/7/2016 12:42,2016-07-11 11:51:00,11,Morning,Supply
116,1012,City,13.0,Trip Completed,11/7/2016 19:15,11/7/2016 19:57,2016-07-11 19:15:00,19,Late Evening,Supply
117,1696,Airport,13.0,Trip Completed,12/7/2016 8:01,12/7/2016 8:42,2016-07-12 08:01:00,8,Morning,Supply
118,3076,City,13.0,Trip Completed,13-07-2016 08:09:04,13-07-2016 09:12:19,2016-07-13 08:09:04,8,Morning,Supply
119,4198,Airport,13.0,Trip Completed,14-07-2016 05:32:14,14-07-2016 06:45:32,2016-07-14 05:32:14,5,Late Night,Supply
120,4627,City,13.0,Trip Completed,14-07-2016 11:13:19,14-07-2016 12:00:12,2016-07-14 11:13:19,11,Morning,Supply
121,5289,City,13.0,Trip Completed,14-07-2016 21:43:24,14-07-2016 22:24:13,2016-07-14 21:43:24,21,Late Evening,Supply
122,5495,Airport,13.0,Trip Completed,15-07-2016 05:00:13,15-07-2016 06:02:27,2016-07-15 05:00:13,5,Late Night,Supply
123,6656,Airport,13.0,Trip Completed,15-07-2016 22:08:42,15-07-2016 22:41:18,2016-07-15 22:08:42,22,Late Evening,Supply
124,139,Airport,14.0,Trip Completed,11/7/2016 5:21,11/7/2016 6:09,2016-07-11 05:21:00,5,Late Night,Supply
125,215,City,14.0,Trip Completed,11/7/2016 6:15,11/7/2016 7:07,2016-07-11 06:15:00,6,Morning,Supply
126,1816,City,14.0,Trip Completed,12/7/2016 9:24,12/7/2016 10:07,2016-07-12 09:24:00,9,Morning,Supply
127,2505,Airport,14.0,Trip Completed,12/7/2016 21:03,12/7/2016 22:14,2016-07-12 21:03:00,21,Late Evening,Supply
128,3346,City,14.0,Trip Completed,13-07-2016 13:01:42,13-07-2016 13:55:59,2016-07-13 13:01:42,13,Noon,Supply
129,5294,City,14.0,Trip Completed,14-07-2016 21:45:50,14-07-2016 22:16:40,2016-07-14 21:45:50,21,Late Evening,Supply
130,6226,Airport,14.0,Trip Completed,15-07-2016 17:34:25,15-07-2016 18:33:13,2016-07-15 17:34:25,17,Noon,Supply
131,6733,Airport,14.0,Trip Completed,15-07-2016 23:32:44,16-07-2016 00:37:46,2016-07-15 23:32:44,23,Late Evening,Supply
132,1027,Airport,15.0,Trip Completed,11/7/2016 19:18,11/7/2016 20:24,2016-07-11 19:18:00,19,Late Evening,Supply
133,2675,Airport,15.0,Trip Completed,12/7/2016 23:43,13-07-2016 00:35:12,2016-07-12 23:43:00,23,Late Evening,Supply
134,3200,City,15.0,Trip Completed,13-07-2016 09:39:44,13-07-2016 10:30:58,2016-07-13 09:39:44,9,Morning,Supply
135,3865,City,15.0,Trip Completed,13-07-2016 21:52:05,13-07-2016 22:21:15,2016-07-13 21:52:05,21,Late Evening,Supply
136,4468,City,15.0,Trip Completed,14-07-2016 08:42:46,14-07-2016 09:22:01,2016-07-14 08:42:46,8,Morning,Supply
137,5163,Airport,15.0,Trip Completed,14-07-2016 20:34:30,14-07-2016 21:05:18,2016-07-14 20:34:30,20,Late Evening,Supply
138,6009,City,15.0,Trip Completed,15-07-2016 12:22:35,15-07-2016 13:25:27,2016-07-15 12:22:35,12,Noon,Supply
139,6448,Airport,15.0,Trip Completed,15-07-2016 20:02:54,15-07-2016 20:40:45,2016-07-15 20:02:54,20,Late Evening,Supply
140,591,City,16.0,Trip Completed,11/7/2016 11:25,11/7/2016 12:31,2016-07-11 11:25:00,11,Morning,Supply
141,709,City,16.0,Trip Completed,11/7/2016 14:16,11/7/2016 15:03,2016-07-11 14:16:00,14,Noon,Supply
142,1167,Airport,16.0,Trip Completed,11/7/2016 20:50,11/7/2016 21:52,2016-07-11 20:50:00,20,Late Evening,Supply
143,2661,Airport,16.0,Trip Completed,12/7/2016 23:23,13-07-2016 00:27:21,2016-07-12 23:23:00,23,Late Evening,Supply
144,2808,City,16.0,Trip Completed,13-07-2016 05:05:16,13-07-2016 05:56:11,2016-07-13 05:05:16,5,Late Night,Supply
145,3258,Airport,16.0,Trip Completed,13-07-2016 10:12:51,13-07-2016 10:45:28,2016-07-13 10:12:51,10,Morning,Supply
146,3413,Airport,16.0,Trip Completed,13-07-2016 15:32:01,13-07-2016 16:45:44,2016-07-13 15:32:01,15,Noon,Supply
147,3939,Airport,16.0,Trip Completed,13-07-2016 22:26:26,13-07-2016 22:55:54,2016-07-13 22:26:26,22,Late Evening,Supply
148,4125,City,16.0,Trip Completed,14-07-2016 04:37:11,14-07-2016 05:46:29,2016-07-14 04:37:11,4,Late Night,Supply
149,4457,City,16.0,Trip Completed,14-07-2016 08:36:24,14-07-2016 09:19:20,2016-07-14 08:36:24,8,Morning,Supply
150,4728,City,16.0,Trip Completed,14-07-2016 14:04:13,14-07-2016 15:06:40,2016-07-14 14:04:13,14,Noon,Supply
151,5347,Airport,16.0,Trip Completed,14-07-2016 22:51:47,14-07-2016 23:53:42,2016-07-14 22:51:47,22,Late Evening,Supply
152,6147,City,16.0,Trip Completed,15-07-2016 16:11:02,15-07-2016 17:30:08,2016-07-15 16:11:02,16,Noon,Supply
153,6496,Airport,16.0,Trip Completed,15-07-2016 20:33:00,15-07-2016 21:32:49,2016-07-15 20:33:00,20,Late Evening,Supply
154,634,City,17.0,Trip Completed,11/7/2016 12:25,11/7/2016 13:06,2016-07-11 12:25:00,12,Noon,Supply
155,939,Airport,17.0,Trip Completed,11/7/2016 18:25,11/7/2016 19:26,2016-07-11 18:25:00,18,Late Evening,Supply
156,2628,Airport,17.0,Trip Completed,12/7/2016 22:10,12/7/2016 23:25,2016-07-12 22:10:00,22,Late Evening,Supply
157,3021,City,17.0,Trip Completed,13-07-2016 07:33:20,13-07-2016 08:26:07,2016-07-13 07:33:20,7,Morning,Supply
158,4743,City,17.0,Trip Completed,14-07-2016 14:54:16,14-07-2016 15:39:03,2016-07-14 14:54:16,14,Noon,Supply
159,4981,City,17.0,Trip Completed,14-07-2016 18:47:42,14-07-2016 19:43:44,2016-07-14 18:47:42,18,Late Evening,Supply
160,5367,Airport,17.0,Trip Completed,14-07-2016 23:35:34,15-07-2016 00:25:26,2016-07-14 23:35:34,23,Late Evening,Supply
161,5471,Airport,17.0,Trip Completed,15-07-2016 04:48:57,15-07-2016 05:47:13,2016-07-15 04:48:57,4,Late Night,Supply
162,5988,Airport,17.0,Trip Completed,15-07-2016 11:48:32,15-07-2016 12:55:02,2016-07-15 11:48:32,11,Morning,Supply
163,6477,Airport,17.0,Trip Completed,15-07-2016 20:21:26,15-07-2016 21:00:31,2016-07-15 20:21:26,20,Late Evening,Supply
164,499,City,18.0,Trip Completed,11/7/2016 9:39,11/7/2016 10:16,2016-07-11 09:39:00,9,Morning,Supply
165,1147,Airport,18.0,Trip Completed,11/7/2016 20:42,11/7/2016 21:18,2016-07-11 20:42:00,20,Late Evening,Supply
166,1410,Airport,18.0,Trip Completed,12/7/2016 3:14,12/7/2016 4:27,2016-07-12 03:14:00,3,Late Night,Supply
167,1804,Airport,18.0,Trip Completed,12/7/2016 9:12,12/7/2016 9:57,2016-07-12 09:12:00,9,Morning,Supply
168,1949,Airport,18.0,Trip Completed,12/7/2016 11:32,12/7/2016 12:13,2016-07-12 11:32:00,11,Morning,Supply
169,2713,City,18.0,Trip Completed,13-07-2016 01:46:42,13-07-2016 02:37:08,2016-07-13 01:46:42,1,Late Night,Supply
170,2845,City,18.0,Trip Completed,13-07-2016 05:28:29,13-07-2016 06:10:40,2016-07-13 05:28:29,5,Late Night,Supply
171,3943,Airport,18.0,Trip Completed,13-07-2016 22:35:38,13-07-2016 23:33:20,2016-07-13 22:35:38,22,Late Evening,Supply
172,4792,City,18.0,Trip Completed,14-07-2016 16:47:15,14-07-2016 17:34:39,2016-07-14 16:47:15,16,Noon,Supply
173,5207,Airport,18.0,Trip Completed,14-07-2016 20:57:41,14-07-2016 21:56:21,2016-07-14 20:57:41,20,Late Evening,Supply
174,5890,City,18.0,Trip Completed,15-07-2016 09:43:57,15-07-2016 10:55:22,2016-07-15 09:43:57,9,Morning,Supply
175,494,City,19.0,Trip Completed,11/7/2016 9:36,11/7/2016 10:02,2016-07-11 09:36:00,9,Morning,Supply
176,1485,City,19.0,Trip Completed,12/7/2016 5:21,12/7/2016 6:35,2016-07-12 05:21:00,5,Late Night,Supply
177,2042,City,19.0,Trip Completed,12/7/2016 14:30,12/7/2016 15:09,2016-07-12 14:30:00,14,Noon,Supply
178,2561,Airport,19.0,Trip Completed,12/7/2016 21:29,12/7/2016 22:44,2016-07-12 21:29:00,21,Late Evening,Supply
179,3813,Airport,19.0,Trip Completed,13-07-2016 21:06:57,13-07-2016 21:46:24,2016-07-13 21:06:57,21,Late Evening,Supply
180,4260,Airport,19.0,Trip Completed,14-07-2016 06:11:51,14-07-2016 06:59:46,2016-07-14 06:11:51,6,Morning,Supply
181,4395,City,19.0,Trip Completed,14-07-2016 08:00:15,14-07-2016 08:54:39,2016-07-14 08:00:15,8,Morning,Supply
182,5919,City,19.0,Trip Completed,15-07-2016 10:03:42,15-07-2016 10:59:27,2016-07-15 10:03:42,10,Morning,Supply
183,6002,Airport,19.0,Trip Completed,15-07-2016 12:04:15,15-07-2016 12:53:36,2016-07-15 12:04:15,12,Noon,Supply
184,468,City,20.0,Trip Completed,11/7/2016 9:20,11/7/2016 10:05,2016-07-11 09:20:00,9,Morning,Supply
185,693,Airport,20.0,Trip Completed,11/7/2016 13:51,11/7/2016 15:01,2016-07-11 13:51:00,13,Noon,Supply
186,1178,City,20.0,Trip Completed,11/7/2016 21:05,11/7/2016 22:06,2016-07-11 21:05:00,21,Late Evening,Supply
187,2103,City,20.0,Trip Completed,12/7/2016 16:08,12/7/2016 17:18,2016-07-12 16:08:00,16,Noon,Supply
188,2292,Airport,20.0,Trip Completed,12/7/2016 18:46,12/7/2016 19:23,2016-07-12 18:46:00,18,Late Evening,Supply
189,3339,City,20.0,Trip Completed,13-07-2016 12:40:58,13-07-2016 13:30:26,2016-07-13 12:40:58,12,Noon,Supply
190,3694,City,20.0,Trip Completed,13-07-2016 19:33:19,13-07-2016 20:35:08,2016-07-13 19:33:19,19,Late Evening,Supply
191,4469,City,20.0,Trip Completed,14-07-2016 08:45:13,14-07-2016 09:48:08,2016-07-14 08:45:13,8,Morning,Supply
192,6432,City,20.0,Trip Completed,15-07-2016 19:50:57,15-07-2016 20:30:05,2016-07-15 19:50:57,19,Late Evening,Supply
193,1895,City,21.0,Trip Completed,12/7/2016 10:20,12/7/2016 10:52,2016-07-12 10:20:00,10,Morning,Supply
194,1981,Airport,21.0,Trip Completed,12/7/2016 12:23,12/7/2016 12:56,2016-07-12 12:23:00,12,Noon,Supply
195,3744,Airport,21.0,Trip Completed,13-07-2016 20:28:11,13-07-2016 21:22:42,2016-07-13 20:28:11,20,Late Evening,Supply
196,4433,Airport,21.0,Trip Completed,14-07-2016 08:26:32,14-07-2016 09:12:02,2016-07-14 08:26:32,8,Morning,Supply
